name,email,age,experience,clinic,specialization
Basmala Mohamed,,33,10,A,Cardiology
Ahmed Adel,,30,7,B,Cardiology
Alaa Abdelnaser,,27,4,C,Cardiology
Rahma Atia,,25,2,D,Neurology
Mohammed Sharkawy,,27,4,E,Neurology
Adel Sayed,,44,14,F,Neurology
Mostafa Sameh,,28,4,G,Orthopedics
Mohammed Yassin,,32,10,H,Orthopedics
Anas Ahmed,,41,17,I,Orthopedics
Samaa Ahmed,,23,1,J,Pediatrics
Maha Ebrahim,,36,14,K,Pediatrics
Nader Ahmed,,39,15,L,Pediatrics
Eman Kamal,,34,10,M,Dermatology
Huda Amr,,37,14,N,Dermatology
Omar Mahmoud,,44,20,O,Dermatology
