name,email,password,type
Karim,kareem,hehe,patient
karim,kareeeeeeeem,hoho,patient
Karim,kareemgamer2006.10@gmail.com,hehe,patient
Karim Mahmoud Ghazy,kareemgamer2006@gmail.com,hehe,patient
"Karim, Mahmoud, Ghazy",karim@gmail.com,hehe,patient
karim ghazy,kareemgamer@gmail.com,hehe,patient
karim,karimovic@gmail.com,hehe,patient
karim,kare@gmail.com,hehe,patient
basmala,basmala@gmail.com,basmala3adi,patient
karim,karimo@gmail.com,hehe,patient
karim,karimo2@gmail.com,hehe,patient
basmala,basmalamohamed@gmail.com,basmala,patient
basmala,basmalla@gmail.com,trytry,patient
basmalaa,run@gmail.com,runrun,patient
Basmala Mohamed,Basmala.Mohamed@gmail,#Basmala Mohamed,doctor
Ahmed Adel,Ahmed.Adel@gmail,#Ahmed Adel,doctor
Alaa Abdelnaser,Alaa.Abdelnaser@gmail,#Alaa Abdelnaser,doctor
Rahma Atia,Rahma.Atia@gmail,#Rahma Atia,doctor
Mohammed Sharkawy,Mohammed.Sharkawy@gmail,#Mohammed Sharkawy,doctor
Adel Sayed,Adel.Sayed@gmail,#Adel Sayed,doctor
Mostafa Sameh,Mostafa.Sameh@gmail,#Mostafa Sameh,doctor
Mohammed Yassin,Mohammed.Yassin@gmail,#Mohammed Yassin,doctor
Anas Ahmed,Anas.Ahmed@gmail,#Anas Ahmed,doctor
Samaa Ahmed,Samaa.Ahmed@gmail,#Samaa Ahmed,doctor
Maha Ebrahim,Maha.Ebrahim@gmail,#Maha Ebrahim,doctor
Nader Ahmed,Nader.Ahmed@gmail,#Nader Ahmed,doctor
Eman Kamal,Eman.Kamal@gmail,#Eman Kamal,doctor
Huda Amr,Huda.Amr@gmail,#Huda Amr,doctor
Omar Mahmoud,Omar.Mahmoud@gmail,#Omar Mahmoud,doctor
